,audio_no,chunk_id,chunk_path,transcription
34,278,34,./audio_chunks/audio_278_chunk_34.mp3," The land of the forest is like the land of the forest. Our hope is that the farming will continue in the future. With cameraman Vijay Kumar, Sankin Gowda M. Devi Kuppa, News 18, Kannada, Haveri. We are ending today's program here. See you tomorrow."
35,175,35,./audio_chunks/audio_175_chunk_35.mp3," Namaskara to all I am Ramesh Baluti I am from Kushtagi, Koppala district I am from Dalimbi I am from Sri Gandha, Kushtagi I am from Sri Gandha, Kushtagi"
36,175,36,./audio_chunks/audio_175_chunk_36.mp3, We are coming from different parts of India and different districts of Karnataka. They are asking us about Sri Ganda. We are from forest department.
37,175,37,./audio_chunks/audio_175_chunk_37.mp3, We have to take a decision. How can we help Sri Ganda? How can we protect her from diseases and diseases? What are the facilities provided by the government? How can we help Sri Ganda and her family?
38,175,38,./audio_chunks/audio_175_chunk_38.mp3, and how to solve it now with these four questions they come and meet us daily now in this brother Satish Kattambilai's video I will talk about these in detail now we will end the video
39,175,39,./audio_chunks/audio_175_chunk_39.mp3," In Canada, we call English as Sandalwood In India, we call it as Chandana What is this Sandalwood? This is growing in different parts of the world For example, in our country in Australia, Hawaii in Indonesia, Thailand It is growing very fast There are about 16 varieties of Sandalwood Even who comes from King verdad"
40,175,40,./audio_chunks/audio_175_chunk_40.mp3," The sandalwood is called Santalam Albam Similarly, Santalam Spicatam is worn on the forehead Similarly, Santalam Asi is worn In this way, in almost every part of the world, there are Sree Ganda's people What is the meaning of the sandalwood? It is one of the commercial names, Vani Jaisaloo In this particular situation, I would like to say that"
41,175,41,./audio_chunks/audio_175_chunk_41.mp3," The young people have taken over the land and are interested in agriculture. In 2001, a law was passed which was called the Prawet person can gross handle. I can say that this is a great opportunity. In 1982, a law was passed by Tipu Sultan, which was called Rajaswamy in Sri Gandhya Liyar. In 1782, about 100 men were killed."
42,175,42,./audio_chunks/audio_175_chunk_42.mp3," Tipu Sultan had a unification agreement with Sri Gandh It was not a right of the people, but a right of the king The same law was in the hands of the Satyamanas Law 2100 was passed Anyone who goes to Sri Gandh, it is his right Now if you see the sandalwood"
43,175,43,./audio_chunks/audio_175_chunk_43.mp3," So they have named it as Royal tree That is the name of the royal tree Now the people can grow it We don't need any special permission from the government After growing, we will go to the village accountant We will take a tree from Srikanth We will attach a pot in our water tank We will see how we grow plants in the morning"
44,175,44,./audio_chunks/audio_175_chunk_44.mp3, we have 분들이 of the summer season. In답or bisaon gogEhli han company anhilrü xiithbada Evan bhi maani srijana ham isi kofo abhi p certified Publisher isya Faara example amirni vaini a�ge Indian A Thank you.
45,175,45,./audio_chunks/audio_175_chunk_45.mp3, or when it is 2040 years old if we print it in 2020 it will be called Sri Ganda so from 16 years Sri Ganda was born and given to government then most of the questions are do we need permission from forest department why do we need permission from forest department
46,175,46,./audio_chunks/audio_175_chunk_46.mp3, we grow it and it will be digested in our water and then how Sri ganda's nutrition system what are the problems of the plants many questions are coming about this as you all know sandalwood is basically semi root parasite it is basically parasitic in nature Sri ganda is a very special plant in our country
47,175,47,./audio_chunks/audio_175_chunk_47.mp3," Now we have to pay attention to Sri Ganda's Aashraya Girdha Similarly, Sandalwood is a forest species It is a forest Girdha And at the same time it is a very native species of us It is not born from many other countries This is our local nature Even among the people, this is the native"
48,175,48,./audio_chunks/audio_175_chunk_48.mp3," Not just носes, we can play, drive, escap on roads cut down properties Monow and dusk, Hope to fortify all of them That is why it is called Naikanda It is not Naikanda It is a very powerful sandalwood"
49,175,49,./audio_chunks/audio_175_chunk_49.mp3," Album is the queen of sandalwood It contains 90% of alpha beta sandalwood It is the most nutritious, high medicinal and aromatic property in the world It is a very medicinal and fragrant property There is no other Srigandha in the world Srigandha is very nutritious"
50,175,50,./audio_chunks/audio_175_chunk_50.mp3, Yadid to Yat 우냛्न alliances to fight<|da|> where young people find no The quality of medicine is very good very suitable and can be used for patients
51,175,51,./audio_chunks/audio_175_chunk_51.mp3," Because of this auspicious quality, today, the medicines that are available in the market, the fragrance products, everything is being sold in Karnataka. They need this quality product for their production. So, today there is a possibility, you may know, Sri Ganda's price is being said. Sir, what is the price?"
52,175,52,./audio_chunks/audio_175_chunk_52.mp3," Is this a hype? Is this an empty gopura? All these tea drinkers who come here for Guru Tea Investments or for any scheme or for any white musli or for any Shatavari you will ask them about Shatavari Is this a hype? What to say about this? No, no Some people just say on these two plants"
53,175,53,./audio_chunks/audio_175_chunk_53.mp3," and they are trying to change it. It is true. To use this in their medical treatment, they are changing Shrigandha to Rs. 70, 80, 100, 150 rupees and cheating the doctor. This is what we are noticing. But, Shrigandha, if we talk about the market, KSDR is Karnataka sandal detergent."
54,175,54,./audio_chunks/audio_175_chunk_54.mp3," This is a product of Srikanta Sabunu Karka in Yashwantpur, Bengaluru They are retailing pure sandalwood oil in 5-10 gms in 2 packings 5 gms for 2000 rs and 10 gms for 5000 rs So, 5 gms for 1 pack means 50 gms for 10 gms and 50 gms for 100 gms"
55,175,55,./audio_chunks/audio_175_chunk_55.mp3, 1000 gm for 5 lakhs 1 kg Sree gandha is being retailed in Karnataka at a rate of 5 lakhs per kg Sree gandha is being sold in small shops like Kaveri Emporium is being retailed at a rate of 100 gm for 2600 rs Sree gandha
56,175,56,./audio_chunks/audio_175_chunk_56.mp3," 26 lakhs per quintal For one tonne, 2.6 crore lakhs The Karnataka government is retailing it We all know this For one tonne, 2.6 crore lakhs Now Today, we are in Raithubandhavar If your land is 4 acres Don't do much Don't do much for your land"
57,175,57,./audio_chunks/audio_175_chunk_57.mp3," If we grow 3 acres of our traditional crops, and if we grow 1 acre of agricultural land based on agriculture, if we grow 1 acre of Sandalwood-centric agroforestry, we get 300 acres of agriculture. Even if we grow 10 kgs of land, we call it an economic yield. It is between 15th and 20th year. 10 kgs of land is 300 acres, so 3 tons."
58,175,58,./audio_chunks/audio_175_chunk_58.mp3," We can expect a lot of art and sandalwood Now this is an opportunity Now we have a law, a scientific development, a market for the environment We are living in a global era Now we can say that this is a part of the opportunity We have the resources, we have the land"
59,175,59,./audio_chunks/audio_175_chunk_59.mp3," In our country, you can use it. If we do something like this, from now onwards, we can study an economic way of life. And not only that, but also, we can give support to the animals, and support to the environment, and we can think of it as social responsibility. We can think of it as a social responsibility."
60,291,60,./audio_chunks/audio_291_chunk_60.mp3, A robbery took place in the Kugalate district of Bangalore. The police were threatening to arrest Bhadrata Sibandhi and had a murder case in the embassy apartment. The incident took place on the 29th of this month and it has been revealed soon. The police are investigating the case in the court.
61,223,61,./audio_chunks/audio_223_chunk_61.mp3, Srikanth tree in Banerjee fort Zeivika bed is in a terrible conditionń Messiah of美味 isonomized pillow is gone in theezkan tree thing are going to look at the scene Mora Baylor 18J selfies Deutschland
62,223,62,./audio_chunks/audio_223_chunk_62.mp3, powers Darka Park None have
63,223,63,./audio_chunks/audio_223_chunk_63.mp3," Yes, let us do them through this form列 I would like to request to these who Liveруж Go helped us find a solution which would help us呢 Did not confront the problem, but goggles were nice gave us knowledge"
64,223,64,./audio_chunks/audio_223_chunk_64.mp3,��겠습니다 para nivela eruption to burstus la circumference a fire spoon i town a leader pala milena on the� alla – la betra you KarAlright tell you how豪 Где Brent Harold by the whole-sour 1000 Aprile Lutheran officesfire like the border there Arugum Renaissance uh double forest a little moreicipitis Evan second properly keep the see ROSE There is no blame on Bob.
65,223,65,./audio_chunks/audio_223_chunk_65.mp3," I have 10 white sap wood. I don't have any hard wood. So I have to do it all alone. I have a F.I.R. at the National Park. They are doing it all alone. I need to know. Do you have any doubt about anyone? No, I don't have any doubt. They are doing all the CCTV cameras alone. I need to know what I am doing."
66,197,66,./audio_chunks/audio_197_chunk_66.mp3, Music zie one eight 주고 h gave one cheesecake passage o n the I患 paupu
67,197,67,./audio_chunks/audio_197_chunk_67.mp3," but помgas are thick and it is difficult to separate it one of the reasons is... and to which policy i will give an explanation So... all my knowledge... following hill zasari and purana and swings i can see there are many dharma scholars , guests . there are many principles these medicine is to oil properly Now we will start see another photo"
68,197,68,./audio_chunks/audio_197_chunk_68.mp3," The doctor published a paper on cancer. So, till now, the industry has been strong. The industry has been strong because, some industries have been dependent on oil. They have been doing their own plantation. In the Panparag industry, there is a place called Kutni in Mandipuradesh. They have done their own plantation. They have done their own business in Panparag."
69,197,69,./audio_chunks/audio_197_chunk_69.mp3," If I want to buy a particular scent, I have to buy the same oil as Srikanth Otherwise, the scent is not suitable So, we will buy Srikanth oil with a fixed price So, because of that property, they need that oil So, we have made a petition and it is growing So, Srikanth is a hub for other countries in our Karnataka So, private parties and farmers are growing and the consumers are also growing"
70,197,70,./audio_chunks/audio_197_chunk_70.mp3," In Maharashtra, we have to take training from our own people and do the necessary training and then spread it to other places. This is a not traditional area. Now I know the importance of this. Why is economics active? Everyone has a question. I have come to ask about economics. Why should you know economics? Why? Why so? If we compare it to learning temerity..."
71,197,71,./audio_chunks/audio_197_chunk_71.mp3, we should have known the economics of the seed because there are many challenges in growing seed like how to plant seedlings and how to grow trees and also how to manage the damage of the soil and also how to market the seeds at the right time and how to harvest the seeds so when we grow such challenging crops and when we get the job of growing other crops we should be able to get the job done
72,197,72,./audio_chunks/audio_197_chunk_72.mp3," If we know how much we can get from the crop, we can decide whether to grow it or not. The economics of sandal is very important. When we study the economics of sandal, we can understand how much salt is there in the sandal by looking at the complex factors that come with sandal. The challenging crop here is sandal because it is not just one crop."
73,197,73,./audio_chunks/audio_197_chunk_73.mp3," and if you want to grow another crop, you have to buy an alternate host that is in different stages, growing different trees and then buying it, so that is a little challenging so if you understand that complexity you will understand economics first, there is a lot of work to be done and then there is a challenge next, the work we have to do, what is the alternate host there is production from that, so the economics will vary, and then the alternate host"
74,197,74,./audio_chunks/audio_197_chunk_74.mp3, this is decision making every stage has to be taken if you do not observe the stages and the decisions we will discuss in the next slide these are all different crops we can say that these are all the crops we have once upon a time a cultivator has introduced many projects and new topics a project has been launched in a new subject and by going neural networks the patients
75,197,75,./audio_chunks/audio_197_chunk_75.mp3, However the research doesn't say what will happen. So we never우�kwardly mention that this tree Non Muskete tree. This is a guarantee that it contains all cr đâyo tree with the sugarcane seeds. . these 6turbal this modern
76,197,76,./audio_chunks/audio_197_chunk_76.mp3, we will see the same preparation we will see how the economics will be in the next episode first we will take the dish we will select the land we will see the area of the soil we will see the area of the soil and we will see if the sand can grow or not
77,197,77,./audio_chunks/audio_197_chunk_77.mp3," we will test the soil that is grown in the sand that is collected in our agricultural centers, universities and soil scientists labs and we will give a report for a reasonable rate in that report you will understand the importance why the importance is less soil scientists will ask you whether the tree crops are grown or not they will give a report and you will get the report"
78,197,78,./audio_chunks/audio_197_chunk_78.mp3, the 7.5-7.8 pH Lena is saying that PEX is spreading avenues Юл for the same in its power plants
79,197,79,./audio_chunks/audio_197_chunk_79.mp3," So, if the pH is neutral, absorption and exchange ions are being extracted correctly in the soil. So, the pH is very important. We have also seen organic carbon. Organic carbon contains the highest amount of carbon in the soil. If the organic carbon content is good, the soil will be more fertile. If the absorption is good, the nutrients will be good. So, the soil will be good and you can supply the soil."
80,197,80,./audio_chunks/audio_197_chunk_80.mp3," you can see the soil here after soil testing, they said that this is a neutral soil you can grow your soil here easily we will extract the soil and select it after selecting the soil next is land preparation if you want to do land preparation you have to have more stones and stones and if you have more stones and stones"
81,197,81,./audio_chunks/audio_197_chunk_81.mp3," so we have to maintain all the water levels so if the cost is not much simply if we prepare the land if we have more trees, more tactics more flowing, it will cost more so we have to select the land with less cost and then we have to increase the cost some people have to increase the cost selection of land is very important then the slope, as the driver said the slope is water, so we have to make the flow clean"
82,197,82,./audio_chunks/audio_197_chunk_82.mp3, the water should be in the same level this is all now you have the land ready you have to do planting you have given the slope and you have done the land preparation so after that next question comes what should we do next? first we have to do after the land preparation is done we have to do the pitting I have given the slope of 11m I have given 2% slope and I have done the level we have to do the pitting what we will do after the pitting we will go to the forest department and we will do the application
83,197,83,./audio_chunks/audio_197_chunk_83.mp3," Ok, if you do not have these things cutlery I will provide the Aadhar card, you do not have You must plant the plants on June 11th Before planting, we must fitting the toma When to do fitting Where to do fitting Which� distance to do fitting How to do fitting We get all these questions We do not want aividad pitting We have a bracso"
84,197,84,./audio_chunks/audio_197_chunk_84.mp3," I recommend you to plant 1-1.5 feet of bundi in 45 cm x 45 cm Why 1-1.5 feet of bundi? Because the size of the seedling will be correct for the size of the plant Which type of bundi should be planted? If I am planting a tree Should I plant it one or three days before planting? If you plant it one day before planting,"
85,197,85,./audio_chunks/audio_197_chunk_85.mp3, the first thing you should consider when you make the失Antriya is not to strike after January and Feb because when figures of the winter started on January and Feb far and neer it would become full of interesting shouldn't it be clear to understand what is happening ? weather activity in winter will cause decorative stones to large the rock of recalls during the wet period will produce strong 000 nearby areas probably it is anti zehn at the� only the soil that grinder out 50 kms or just anise
86,197,86,./audio_chunks/audio_197_chunk_86.mp3," In the far part 7th column, you add probably 7 Intel is computer value we will separate stones and now we will be planting let us plant bring the plastic cover donot spill water we need"
87,197,87,./audio_chunks/audio_197_chunk_87.mp3," After planting seedlings, you will have to remove the top 2 cm of soil from the plant and you will have to add 2 kg to 3 kg of farm yard manure If you do not mix the farm yard manure with the soil, it will increase the water holding capacity and when you do planting, you will have to give water to the seedlings"
88,239,88,./audio_chunks/audio_239_chunk_88.mp3," Hello friends, welcome to Raythamahiti channel In today's video, I am going to introduce you to a plant which is one of the most abundant plants in the world You can grow this plant in Karnataka, in the western part of the country and in the western part of the country This plant will give you 20 crores of money"
89,239,89,./audio_chunks/audio_239_chunk_89.mp3," If you are not subscribed to this channel, please subscribe to this channel and press the bell icon. Thank you for watching."
90,239,90,./audio_chunks/audio_239_chunk_90.mp3," If you ask me, will you get 20 crore income from these trees? Yes, you will definitely get income from these trees. You will get income from these trees in this market. But you have to grow these trees for 4 years from now. After that, you will get income from these trees. That means you will get income from these trees in crores. So, come and learn about these trees."
91,239,91,./audio_chunks/audio_239_chunk_91.mp3," From the beginning, some people skip this and forget to see it. Friends, if you hear about the place where I lived and the place where I lived, that is Sri Gandhada Besaya. Friends, you can visit this place very important for the air quality of our Karnataka. It is only a place where you can stay in one acre. It will give you a chance to live for 14 years from 12 to 14 years. This Sri Gandhada Besaya is the base of the Sri Gandhada tree."
92,239,92,./audio_chunks/audio_239_chunk_92.mp3, the leaves will be changed according to the number of kgs if you see the price of this plant it will be around 5000 to 8000 rupees if you change it after 12 to 15 years it will be around 3 to 4 times the price if you take it for 15000 rupees then you will get
93,239,93,./audio_chunks/audio_239_chunk_93.mp3," If we are going to buy 50 kg of wood, we will get 5500 x 50 kg of wood which is 7.5 lakhs If we are going to grow 300 trees, we will get 7.5 lakhs x 300 which is 21 crores Friends, if you want you can buy this type of wood"
94,239,94,./audio_chunks/audio_239_chunk_94.mp3," So we are going to talk aboutban whit just like by Reid, if you get so much information after bringing it in your home yield you can do so much better without cow dung as well. So, how to make your bed? before this have sawn grass, need not spend money for flowers!!!!!!!!!!!!!!!!!"
95,239,95,./audio_chunks/audio_239_chunk_95.mp3," you can buy this land there too after buying this land you should pay attention to one thing in the area of Jhauk these lands are not available so you should not buy that land if you buy that land, it will be a beautiful land for which you will be happy if you want to have a lot of water you should buy a lot of water"
96,239,96,./audio_chunks/audio_239_chunk_96.mp3," This is the Walter Wood, dried Tyres must be encouraged first Here again, when you place Não Dokid line by 9 and 1 Place a 9 and 22 pieces Here the não is tied without any eventuality Now you can grow any kind of plant here."
97,239,97,./audio_chunks/audio_239_chunk_97.mp3," These holes are not big, but the holes are in the side of the hole. So it is very easy to fill another hole. After that, you can fill this hole with water for 8 days. That is, fill 4 times a month. So that in case of rain, you have to fill another hole with water. So, this is the way to fill the hole."
98,239,98,./audio_chunks/audio_239_chunk_98.mp3, and you need to water it with clean water in this way you need to keep it in a dry place for 5 years if you keep it in a dry place for 5 years then it will grow in a dry place for another 5 years in this way you need to keep it in a dry place for another 5 years in this way you need to keep it in a dry place for another 5 years
99,239,99,./audio_chunks/audio_239_chunk_99.mp3," after the 5th time this tree needs some distance to destinase it and again you can do some назвling, then you need to get permission from the garden people and you will get your princes corn"
100,191,100,./audio_chunks/audio_191_chunk_100.mp3," This is a 9 year old plant, we have harvested almost all the roots This is a rotten plant, but it has roots and it is full of heartwood You can change the roots if you see the complete video Hi, welcome to the Arook Group Today's video is about the root of the plant I will tell you how to grow it This plant is shot in a vertical angle"
101,191,101,./audio_chunks/audio_191_chunk_101.mp3," Almost all the fields near this kind of fields had been cut down. some 200 of them were left untreated like this the fence came out as it looks no longer used sketch of 40 year old man was criticize because of remain the damage he came late, gave permission him toas but eventually they hadcano fragrance left at that time"
102,191,102,./audio_chunks/audio_191_chunk_102.mp3, I will show you that house but in this condition as soon as they cut the wood the well tox paste will come out you have to remove that because it is a fungal infection the wood is still alive cells will develop it will not grow if you cut it if you remove the well tox paste and keep it tight and if you see that it is not coming out it will definitely grow now it is ready friends
103,191,103,./audio_chunks/audio_191_chunk_103.mp3," Don't put electric fencing, dog, or any other kind of fence on the ground. Protect the ground with the proper protection. I am saying this because, first, use electric fencing, use a tent, keep a dog, keep a dog from 3 to 5 feet, there is nothing wrong with that. We are happy if you put a fence on the ground. It will contribute to your nature."
104,191,104,./audio_chunks/audio_191_chunk_104.mp3," they are not good at carbon sequestration they are not good at marketing they are not good at protection they are mixed with maavins and other crops but mango is not a good host teak is not a good host you know about host, they are not good at plantation they are not good at research they are not good at internet they are not good at government"
105,191,105,./audio_chunks/audio_191_chunk_105.mp3, we have no time to think about it we can't do anything about it because of age almost age is over you can see it here so first plan what i am doing in this field for 8-10 years what i am doing in this field if i utilize it properly if i utilize it properly if i utilize it properly if i utilize it properly if i utilize it properly i can cut it
106,191,106,./audio_chunks/audio_191_chunk_106.mp3," they have cut it because the owner saw it and bought it so if you are watching this video or if you want to do a garden please understand pay attention to the fence and the planting material if the host is not proper, it will not grow if the growth comes, if you do not have proper planning for the fence, it will cut if there is no roof, if you do not pay attention to one thing then there is a chance of loss"
107,191,107,./audio_chunks/audio_191_chunk_107.mp3, another thing is that if you see here you can see that Shriganda has grown well but there is a Pomegranate plot if you see the size of it it is growing well but if you see the Pomegranate it is not growing well it is growing well
108,191,108,./audio_chunks/audio_191_chunk_108.mp3," and then it will drain nutrients from its roots so to develop any farm first what nutrients are important in your soil and when nutrients reach that soil how much nutrients can be added to it 300, 200, 500, what so ever plan that and if you don't know anything contact the number given in the description book a session or register and watch till the end help sharing that"
109,191,109,./audio_chunks/audio_191_chunk_109.mp3," or you can come to our office in bangalore chennai and do consultation if you come to our office and you dont have any charge, we will charge you only when we pay our vehicle expenses if you register we will give you the design and plan friends, if you have any doubts regarding this plot, please contact us via the number given in the description box"
